"id_odsp";"id_event";"sort_order";"time";"text";"event_type";"event_type2";"side";"event_team";"opponent";"player";"player2";"player_in";"player_out";"shot_place";"shot_outcome";"is_goal";"location";"bodypart";"assist_method";"situation";"fast_break"
"fwF153YA/";"fwF153YA78";78.0;87.0;"Foul by Francesco Bolzoni (Siena).";3.0;"NA";1.0;"Siena";"Bologna";"francesco bolzoni";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"6RJ1yL0f/";"6RJ1yL0f70";70.0;57.0;"Foul by Albert Bunjaku (FC Nurnberg).";3.0;"NA";2.0;"Nurnberg";"TSG Hoffenheim";"albert bunjaku";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"UecowsWs/";"UecowsWs65";65.0;71.0;"Substitution, SC Freiburg. Anton Putsila replaces Mensur Mujdza.";7.0;"NA";1.0;"SC Freiburg";"FC Cologne";"NA";"NA";"anton putsila";"mensur mujdza";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"ppiTK3rr/";"ppiTK3rr112";112.0;88.0;"Corner,  MA¡laga. Conceded by Aritz Aduriz.";2.0;"NA";1.0;"Malaga";"Valencia";"aritz aduriz";"aritz aduriz";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"SStBmsXA/";"SStBmsXA23";23.0;20.0;"Olivier Kapo (Auxerre) is shown the yellow card for excessive celebration.";4.0;"NA";1.0;"AJ Auxerre";"Brest";"olivier kapo";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"vNbkTwHS/";"vNbkTwHS101";101.0;80.0;"Offside, Inter Milan. Andrea Ranocchia tries a through ball, but Esteban Cambiasso is caught offside.";9.0;"13";1.0;"Internazionale";"Cesena";"esteban cambiasso";"andrea ranocchia";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"MTWqx8Tn/";"MTWqx8Tn10";10.0;12.0;"Attempt blocked. Dani BenA­tez (Granada CF) right footed shot from outside the box is blocked.";1.0;"NA";1.0;"Granada";"Espanyol";"dani benitez";"NA";"NA";"NA";"2";"3";0.0;"15";"1";0.0;"1";0.0
"2Te1QA0l/";"2Te1QA0l61";61.0;73.0;"Substitution, Milan. Mathieu Flamini replaces Kevin-Prince Boateng.";7.0;"NA";1.0;"AC Milan";"Atalanta";"NA";"NA";"mathieu flamini";"kevinprince boateng";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"Aga9OlV0/";"Aga9OlV014";14.0;16.0;"Offside, Genoa. Giandomenico Mesto tries a through ball, but Rodrigo Palacio is caught offside.";9.0;"13";1.0;"Genoa";"Cagliari";"rodrigo palacio";"giandomenico mesto";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"O8kEK6bC/";"O8kEK6bC35";35.0;36.0;"Foul by Roland Lamah (Osasuna).";3.0;"NA";2.0;"Osasuna";"Valencia";"roland lamah";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"Q5oZsC0k/";"Q5oZsC0k31";31.0;27.0;"Attempt blocked. Antoine Devaux (Toulouse) right footed shot from outside the box is blocked. Assisted by Moussa Sissoko.";1.0;"12";2.0;"Toulouse";"Brest";"antoine devaux";"moussa sissoko";"NA";"NA";"2";"3";0.0;"15";"1";1.0;"1";0.0
"Ec2wX6Ba/";"Ec2wX6Ba37";37.0;40.0;"Attempt missed. Marcus Berg (Hamburg) header from the centre of the box misses to the right. Assisted by Dennis Aogo with a cross.";1.0;"12";2.0;"Hamburg SV";"FC Augsburg";"marcus berg";"dennis aogo";"NA";"NA";"9";"2";0.0;"3";"3";2.0;"1";0.0
"YeAJV0sf/";"YeAJV0sf107";107.0;86.0;"Foul by Gonzalo RodrA­guez (Villarreal).";3.0;"NA";2.0;"Villarreal";"Valencia";"gonzalo rodriguez";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"hn08ySE6/";"hn08ySE678";78.0;59.0;"Substitution, Palermo. Abel HernA¡ndez replaces Igor Budan.";7.0;"NA";1.0;"Palermo";"Chievo Verona";"NA";"NA";"abel hernandez";"igor budan";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"C6RBeBFr/";"C6RBeBFr28";28.0;28.0;"Offside, Auxerre. Willy Boly tries a through ball, but Alain TraorA© is caught offside.";9.0;"13";1.0;"AJ Auxerre";"Bordeaux";"alain traore";"willy boly";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
"C6RBeBFr/";"C6RBeBFr64";64.0;63.0;"Foul by MichaA«l Ciani (Bordeaux).";3.0;"NA";2.0;"Bordeaux";"AJ Auxerre";"michael ciani";"NA";"NA";"NA";"NA";"NA";0.0;"NA";"NA";0.0;"NA";0.0
